word,won,wrong_guesses,repeated_guesses,word_length
slept,False,6,0,5
brisket,True,2,0,7
lacrym,False,6,0,6
phalangides,True,1,0,11
tantalizer,True,0,0,10
dacelo,True,3,0,6
assortedness,True,0,0,12
nonrepetition,True,0,0,13
omnimental,True,3,0,10
multicorneal,True,5,0,12
underpropper,True,2,0,12
wordmongery,True,2,0,11
bedaub,True,2,0,6
strain,False,6,0,6
jungermannia,False,6,0,12
doghearted,False,6,0,10
luxuriation,False,6,0,11
antiquing,True,1,0,9
zymomin,True,4,0,7
splanchnic,True,2,0,10
keralite,True,0,0,8
radiogoniometer,True,0,0,15
whaling,False,6,0,7
ptarmica,False,6,0,8
candlefish,False,6,0,10
arbitragist,True,1,0,11
precentory,True,2,0,10
jockeyship,True,4,0,10
malist,True,2,0,6
payee,True,2,0,5
cephalobranchiate,True,0,0,17
uncivic,True,2,0,7
keynesian,True,0,0,9
adulterine,True,0,0,10
vacuuma,True,5,0,7
unreplied,True,0,0,9
detriment,True,1,0,9
dislink,True,3,0,7
unseemingly,True,0,0,11
baccated,True,0,0,8
insidious,True,1,0,9
auditorship,True,1,0,11
barwal,True,2,0,6
uintjie,True,1,0,7
superdainty,True,0,0,11
unplaited,True,1,0,9
bonjour,True,3,0,7
acanthopodous,True,2,0,13
preception,True,4,0,10
expressionlessness,True,0,0,18
irrationability,True,1,0,15
tiptilt,True,3,0,7
tagasaste,True,1,0,9
platosammine,True,0,0,12
contragredient,True,1,0,14
cholecystorrhaphy,True,1,0,17
confronte,True,2,0,9
induna,True,1,0,6
radiophonic,True,1,0,11
unwhitened,False,6,0,10
rainworm,True,1,0,8
pillwort,True,2,0,8
nonmandatory,True,2,0,12
labridae,False,6,0,8
hydriatrist,True,1,0,11
lienteric,True,0,0,9
relevancy,True,1,0,9
kamasin,True,2,0,7
minstrelship,True,0,0,12
foregoing,True,1,0,9
juncite,False,6,0,7
microphyte,True,2,0,10
affixer,True,1,0,7
yenite,True,2,0,6
rotative,True,0,0,8
unapprobation,True,1,0,13
multilobed,True,1,0,10
larvae,True,0,0,6
preoccupant,True,5,0,11
unmuddle,False,6,0,8
urbacity,True,4,0,8
factitive,True,0,0,9
minsitive,True,0,0,9
catallactics,True,1,0,12
impartialism,True,1,0,12
muster,True,3,0,6
irrecusably,True,0,0,11
heteromeri,True,0,0,10
chattelize,True,0,0,10
ovatopyriform,False,6,0,13
actress,False,6,0,7
inbringer,True,1,0,9
lupulus,False,6,0,7
querciflorae,True,0,0,12
phelloplastic,True,0,0,13
peever,False,6,0,6
eccaleobion,True,0,0,11
cede,True,4,0,4
kincob,True,3,0,6
parallelepipedal,True,0,0,16
nuptials,True,2,0,8
summerings,True,1,0,10
echinodermatous,False,6,0,15
inclementness,True,0,0,13
mustafina,True,1,0,9
merci,True,1,0,5
chauk,False,6,0,5
riskiness,True,1,0,9
anisometropia,True,0,0,13
equilobed,False,6,0,9
theatrograph,True,1,0,12
laxly,True,3,0,5
unbossed,True,5,0,8
nace,True,3,0,4
mysogynism,True,2,0,10
exophagy,False,6,0,8
cience,True,0,0,6
gnatling,True,1,0,8
alcovinometer,True,0,0,13
nexal,True,1,0,5
sleepland,True,1,0,9
roupet,True,2,0,6
microgramme,False,6,0,11
unassuageable,False,6,0,13
coralloid,True,1,0,9
acanthopterygii,True,5,0,15
trypanosomatosis,True,1,0,16
ganoid,True,5,0,6
piculule,True,2,0,8
unpicked,True,2,0,8
undercrawl,True,1,0,10
bedstring,True,0,0,9
dichloroacetic,True,0,0,14
gaudery,True,2,0,7
lowishness,False,6,0,10
cephalacanthus,True,1,0,14
bonjour,True,3,0,7
deduct,False,6,0,6
desinent,True,0,0,8
yarran,False,6,0,6
revisable,True,0,0,9
boiled,True,4,0,6
extratensive,True,0,0,12
impremeditate,True,0,0,13
thymy,False,6,0,5
cience,True,0,0,6
inexpressible,True,0,0,13
netherstock,True,2,0,11
philosopheme,True,1,0,12
demagogism,True,2,0,10
grunter,True,3,0,7
obligatory,True,2,0,10
absinthiate,False,6,0,11
chairer,True,0,0,7
bangiaceae,True,0,0,10
microzoospore,True,1,0,13
zebrula,True,2,0,7
gambol,True,4,0,6
proctorial,True,1,0,10
instar,True,3,0,6
ascarid,True,1,0,7
dasyphyllous,True,5,0,12
dapicho,True,3,0,7
nectary,True,1,0,7
cry,False,6,0,3
unupbraiding,True,2,0,12
subpattern,False,6,0,10
unforeseen,True,1,0,10
marketman,True,0,0,9
monotonously,True,3,0,12
outbent,True,3,0,7
euomphalus,True,3,0,10
picturable,True,0,0,10
doweral,True,1,0,7
lucia,True,3,0,5
biscuitlike,True,0,0,11
subfeudation,True,0,0,12
lignaloes,True,2,0,9
multigranulate,True,0,0,14
mechanics,True,0,0,9
ingratiation,True,1,0,12
ciao,True,1,0,4
beady,True,4,0,5
partanfull,True,2,0,10
intemerate,True,0,0,10
lapwork,False,6,0,7
qcnohbmousji,False,6,0,12
prealkalic,True,0,0,10
doebird,True,1,0,7
fagoter,True,2,0,7
regeneracy,True,0,0,10
flaunty,True,3,0,7
purge,True,2,0,5
indecidua,True,0,0,9
qua,True,4,0,3
palatal,True,1,0,7
keratocentesis,True,2,0,14
uncrown,False,6,0,7
dizygotic,True,3,0,9
parnellism,True,0,0,10
unjfovwqtyd,True,3,0,11
spasticity,False,6,0,10
churruck,True,3,0,8
isorithm,True,2,0,8
rectilinearly,True,0,0,13
fibrillate,True,2,0,10
deploringly,False,6,0,11
retirer,True,0,0,7
taking,True,3,0,6
bosslet,True,4,0,7
skive,True,4,0,5
rebrew,True,0,0,6
unmonkly,True,4,0,8
pundonor,True,3,0,8
endemic,True,1,0,7
anisochromatic,True,2,0,14
charlock,True,2,0,8
empire,True,2,0,6
recompare,False,6,0,9
breunnerite,True,0,0,11
pavonia,True,2,0,7
villanage,True,1,0,9
compositional,True,1,0,13
ablate,True,2,0,6
periangiocholitis,True,0,0,17
unwettable,True,2,0,10
zoetic,True,3,0,6
unfeudalized,False,6,0,12
dedicatorial,True,0,0,12
altica,True,1,0,6
buxaceous,True,4,0,9
consonantly,True,3,0,11
billa,True,3,0,5
primulales,True,1,0,10
hospitalism,True,1,0,11
fanguage,True,3,0,8
relocable,True,2,0,9
mixy,False,6,0,4
unparking,True,2,0,9
chromoisomerism,True,1,0,15
devoutlessness,True,1,0,14
unafloat,True,1,0,8
pachymenia,True,0,0,10
cercelee,True,0,0,8
mot,True,5,0,3
lakeless,True,1,0,8
predeficiency,True,0,0,13
papulate,True,4,0,8
palaeophytological,True,0,0,18
loricate,True,1,0,8
unstupefied,False,6,0,11
trinitroresorcin,True,0,0,16
hydrolyte,True,2,0,9
phyle,True,4,0,5
citral,True,1,0,6
variegation,True,0,0,11
repot,True,2,0,5
unpharasaic,True,1,0,11
benchership,True,0,0,11
agora,True,2,0,5
redelegation,True,0,0,12
sedan,True,2,0,5
dovekey,True,2,0,7
slipshodness,True,1,0,12
fringetail,True,0,0,10
stepgrandfather,False,6,0,15
tailet,True,2,0,6
hosackia,False,6,0,8
disquisitory,True,1,0,12
rousement,True,2,0,9
hochelaga,False,6,0,9
nonsyllabic,True,1,0,11
ooscopy,True,4,0,7
unmatured,True,0,0,9
weakheartedness,True,0,0,15
preroute,True,0,0,8
lameduck,True,0,0,8
sparadrap,True,2,0,9
oenological,True,3,0,11
marimba,True,3,0,7
idolistic,True,1,0,9
skulking,True,5,0,8
interlaminate,True,4,0,13
bastardly,True,3,0,9
steatornis,True,0,0,10
companionate,True,0,0,12
unmutual,True,3,0,8
gruesome,True,3,0,8
unpersonableness,True,0,0,16
ginhouse,True,1,0,8
midship,True,3,0,7
haft,True,2,0,4
crazedness,True,1,0,10
mentalize,True,0,0,9
witan,True,5,0,5
malebolgian,True,0,0,11
safelight,True,0,0,9
polychromic,True,4,0,11
nursing,True,4,0,7
sarcogenous,True,1,0,11
wrld,False,6,0,4
paraenetic,True,2,0,10
hepaticoenterostomy,True,0,0,19
bluster,True,3,0,7
engraftation,False,6,0,12
titanothere,True,0,0,11
coleophora,True,1,0,10
twmk,True,5,0,4
warblet,True,0,0,7
psychodynamic,True,1,0,13
pendecagon,True,1,0,10
apigenin,True,0,0,8
secretly,False,6,0,8
peripheroceptor,True,0,0,15
swedge,False,6,0,6
beardtongue,True,1,0,11
erythremomelalgia,True,0,0,17
dechlorination,True,0,0,14
chrysazol,True,2,0,9
webster,True,3,0,7
majorism,True,3,0,8
monumentalization,True,0,0,17
otosis,True,5,0,6
thy,False,6,0,3
oscularity,True,2,0,10
circumrotation,True,1,0,14
filoplumaceous,True,0,0,14
partheniad,True,0,0,10
superinfuse,True,0,0,11
sinkiuse,True,1,0,8
housebreaking,True,0,0,13
intertragian,True,0,0,12
designfulness,False,6,0,13
diagonic,False,6,0,8
paramylum,True,3,0,9
scaffie,False,6,0,7
fermentor,True,2,0,9
celiomyomotomy,True,1,0,14
nervimuscular,True,0,0,13
jowter,False,6,0,6
rattleproof,True,1,0,11
amphistoma,True,1,0,10
carbamyl,True,1,0,8
seilenos,True,1,0,8
unchoral,True,2,0,8
pilotship,False,6,0,9
contrate,True,1,0,8
voltairism,True,2,0,10
replenishingly,True,0,0,14
eremic,False,6,0,6
decker,True,2,0,6
heedfully,False,6,0,9
christiad,True,2,0,9
eucephalous,True,1,0,11
menage,True,3,0,6
quaffingly,True,3,0,10
polyparesis,True,0,0,11
taxlessness,True,0,0,11
cryptogrammic,True,2,0,13
repin,True,2,0,5
ulotrichous,True,3,0,11
viscerosomatic,True,5,0,14
freedom,True,2,0,7
calentural,True,1,0,10
rayless,True,2,0,7
deist,True,4,0,5
craniad,True,1,0,7
counterinterest,False,6,0,15
floriscope,True,2,0,10
elevatingly,True,0,0,11
doorstep,False,6,0,8
quadriderivative,True,0,0,16
adulterate,False,6,0,10
sibilantly,True,1,0,10
salpingorrhaphy,True,1,0,15
themsel,True,2,0,7
vinagron,True,1,0,8
allopalladium,True,1,0,13
slightly,True,5,0,8
pemphigus,True,4,0,9
telferage,True,0,0,9
cerebellum,True,0,0,10
nonvirulent,True,2,0,11
elwood,True,4,0,6
atavistically,True,1,0,13
improve,True,2,0,7
tenuifasciate,True,0,0,13
deuterostoma,True,1,0,12
tuner,True,5,0,5
contrahent,False,6,0,10
appetence,True,1,0,9
robeless,True,2,0,8
epitendineum,False,6,0,12
nervid,True,2,0,6
kenogenetically,True,0,0,15
doldrum,True,3,0,7
incompatibleness,True,0,0,16
clinamen,True,2,0,8
austenite,True,1,0,9
pyrales,True,0,0,7
erysimum,True,1,0,8
retroflexion,False,6,0,12
flowerful,True,2,0,9
sunless,True,3,0,7
reascendency,True,0,0,12
bngfvqc,False,6,0,7
rivaless,True,0,0,8
aphrodistic,True,5,0,11
kroner,True,2,0,6
octopean,True,0,0,8
inelastic,True,0,0,9
verifier,True,0,0,8
iatraliptics,True,5,0,12
iodochromate,True,0,0,12
angiokinesis,True,0,0,12
septated,False,6,0,8
mesne,True,2,0,5
animadvert,True,5,0,10
usitative,True,5,0,9
chymification,True,2,0,13
benedictinism,True,0,0,13
tucky,False,6,0,5
projetc,True,1,0,7
orthognathus,True,2,0,12
aggregately,False,6,0,11
protelytropterous,True,0,0,17
prepostorship,True,2,0,13
patriarchist,True,2,0,12
rephosphorize,True,0,0,13
blackpoll,False,6,0,9
joltiness,True,5,0,9
unsorrowed,True,2,0,10
kris,False,6,0,4
gasworker,False,6,0,9
sackbut,True,4,0,7
swaddlebill,True,0,0,11
distinguishable,True,0,0,15
unsymmetricalness,True,2,0,17
bartholomite,True,0,0,12
coexistency,True,0,0,11
pneumatophilosophy,True,0,0,18
algebraization,True,0,0,14
heterochronous,True,2,0,14
polystylous,True,3,0,11
flannelflower,True,1,0,13
trochi,True,2,0,6
misbirth,True,3,0,8
fructuousness,True,2,0,13
organizational,True,1,0,14
phylarchy,False,6,0,9
perule,True,1,0,6
datiscetin,True,0,0,10
overpreface,True,0,0,11
happiless,True,1,0,9
phainolion,True,1,0,10
groenendael,True,0,0,11
swissing,True,2,0,8
swipe,False,6,0,5
aftosa,False,6,0,6
vaginopexy,True,2,0,10
discage,False,6,0,7
circumscribe,True,0,0,12
abroach,True,2,0,7
concierge,True,0,0,9
hoptoad,True,4,0,7
abstractly,True,3,0,10
upglide,True,4,0,7
febrile,True,2,0,7
autobiographist,False,6,0,15
overright,True,1,0,9
negatron,True,1,0,8
edeomania,True,1,0,9
demihag,False,6,0,7
indefinitively,True,0,0,14
popgunnery,True,2,0,10
deaminate,True,0,0,9
shin,False,6,0,4
ziphiinae,True,5,0,9
pelves,True,2,0,6
presbyteral,False,6,0,11
permian,True,3,0,7
piaffer,True,4,0,7
saururous,True,2,0,9
floreate,True,4,0,8
allochthonous,True,2,0,13
athanasian,True,1,0,10
cynarctomachy,True,2,0,13
underboated,True,1,0,11
trispaston,True,1,0,10
kinkajou,True,2,0,8
annette,True,1,0,7
ngetwork,True,3,0,8
creedsman,True,1,0,9
untuckered,True,1,0,10
achine,True,3,0,6
miswrite,True,2,0,8
trochiline,True,0,0,10
rampacious,True,1,0,10
oxyurous,True,3,0,8
recently,True,1,0,8
dillseed,True,0,0,8
anglesite,True,1,0,9
extratension,True,0,0,12
sacrocostal,True,2,0,11
hyponychial,False,6,0,11
taxiauto,True,5,0,8
remanency,True,5,0,9
thiocarbamide,True,0,0,13
infirmarer,True,0,0,10
wanigan,True,2,0,7
spectacled,True,2,0,10
oxidator,True,2,0,8
making,False,6,0,6
foam,True,3,0,4
halfbeak,True,0,0,8
oevelopment,True,0,0,11
currawang,True,2,0,9
rcnebkk,True,2,0,7
subforeman,False,6,0,10
qsbkumbaryy,True,5,0,11
fructoside,True,5,0,10
pockmark,True,4,0,8
unresponsiveness,True,0,0,16
ostreophage,True,1,0,11
leak,True,3,0,4
countersconce,True,2,0,13
procapitalist,True,2,0,13
confirmer,True,1,0,9
auroauric,True,5,0,9
neowashingtonia,True,0,0,15
georgia,True,0,0,7
wotteth,False,6,0,7
oculinid,True,2,0,8
cleome,True,1,0,6
annalist,True,2,0,8
keyseater,True,0,0,9
equinecessary,True,0,0,13
scrollhead,True,1,0,10
mycetogenic,True,1,0,11
mechitaristican,True,0,0,15
osteodentin,True,1,0,11
belibel,True,3,0,7
parrotlike,True,4,0,10
undisquieted,True,0,0,12
cashibo,True,1,0,7
pseudovary,True,1,0,10
nondeciduata,True,0,0,12
disintricate,True,0,0,12
perukeless,False,6,0,10
fireproof,True,1,0,9
barragan,True,3,0,8
terebinthine,True,0,0,12
pelvioscopy,True,1,0,11
gesneria,False,6,0,8
stumbling,True,4,0,9
alhena,True,0,0,6
dimna,True,5,0,5
irredeemably,True,0,0,12
limnanthes,True,2,0,10
typomania,True,1,0,9
ipomoein,True,2,0,8
downpouring,True,2,0,11
molligrant,True,1,0,10
clisiocampa,False,6,0,11
irreticent,True,1,0,10
bevel,True,4,0,5
sidth,False,6,0,5
phociform,True,3,0,9
subfulgent,True,4,0,10
pronouncedly,True,2,0,12
dissected,True,1,0,9
hydrobomb,True,3,0,9
matta,True,1,0,5
starlessly,True,1,0,10
noche,True,2,0,5
regenerance,True,0,0,11
ergane,True,2,0,6
confederationist,True,0,0,16
hypercyanotic,True,0,0,13
lenvoy,True,3,0,6
pomeridian,True,0,0,10
vastitude,True,0,0,9
smearless,False,6,0,9
shawn,False,6,0,5
meleagris,True,0,0,9
pastinaca,True,4,0,9
nonrecognized,False,6,0,13
menthenone,True,0,0,10
reward,True,0,0,6
nontruth,True,3,0,8
hangman,True,2,0,7
eugene,True,1,0,6
patesi,True,0,0,6
luckie,True,2,0,6
unborrowed,False,6,0,10
mesonasal,True,1,0,9
hug,False,6,0,3
scutellaria,True,0,0,11
swinney,True,3,0,7
unentertainable,True,0,0,15
dishabille,True,0,0,10
percoidean,True,2,0,10
pharmacometer,True,1,0,13
clearheaded,True,0,0,11
conformer,True,2,0,9
radioluminescence,True,0,0,17
pendulation,True,0,0,11
quintadena,False,6,0,10
cthzzuetkh,False,6,0,10
calorify,True,3,0,8
phacotherapy,True,1,0,12
subchela,True,1,0,8
cowled,True,4,0,6
unascended,True,2,0,10
gruesomeness,True,0,0,12
expatiater,True,0,0,10
afterwrist,False,6,0,10
afterbeat,True,2,0,9
precopy,True,2,0,7
quantitative,False,6,0,12
accomplishable,True,0,0,14
urolithiasis,True,1,0,12
milkman,True,3,0,7
carbamido,True,4,0,9
picudilla,True,1,0,9
tetrarchic,True,0,0,10
rhodophyta,True,2,0,10
usucapient,True,4,0,10
cevitamic,True,0,0,9
squirearchical,True,0,0,14
schizophyta,True,1,0,11
unhaste,True,2,0,7
thoughtlessness,False,6,0,15
sundik,True,3,0,6
myelozoan,True,1,0,9
rine,True,3,0,4
elocutioner,True,0,0,11
garderobe,True,1,0,9
bitterwood,False,6,0,10
bargh,False,6,0,5
gearwheel,True,0,0,9
unleashed,True,2,0,9
disjointure,False,6,0,11
ballahoo,True,4,0,8
untrusted,True,3,0,9
palmatipartite,True,2,0,14
swandown,True,3,0,8
unworried,True,1,0,9
unsuffocate,True,1,0,11
urceiform,True,2,0,9
unsubscribing,True,3,0,13
pleurorrhea,True,1,0,11
haeremai,False,6,0,8
palatoglossus,True,2,0,13
crazyweed,True,1,0,9
formicicide,True,0,0,11
lithectomy,True,2,0,10
nitromuriatic,True,1,0,13
fromage,True,1,0,7
oxytylotate,True,1,0,11
santoninic,True,1,0,10
orgasmic,True,1,0,8
mouse,True,4,0,5
swallowpipe,False,6,0,11
nukuhivan,False,6,0,9
ortyx,True,3,0,5
woodrowel,True,2,0,9
consute,True,3,0,7
transience,True,0,0,10
anthomania,True,3,0,10
gymnadenia,True,1,0,10
monticuliporidean,True,0,0,17
haploscopic,True,1,0,11
pizaaabhnt,True,1,0,10
hutcher,True,3,0,7
oestruate,True,2,0,9
teasing,True,1,0,7
atractaspis,True,1,0,11
surbase,True,2,0,7
sorryhearted,True,1,0,12
unincumbered,True,0,0,12
ordered,True,0,0,7
admiralship,True,1,0,11
confining,True,1,0,9
kaiwi,False,6,0,5
silicicolous,True,1,0,12
thereoid,True,0,0,8
t,False,6,0,1
prostemmatic,True,0,0,12
maxilla,True,2,0,7
pessoner,True,1,0,8
compacted,False,6,0,9
alburn,False,6,0,6
werebear,False,6,0,8
strikeless,False,6,0,10
vcpp,False,6,0,4
spareable,True,2,0,9
atmocausis,True,1,0,10
thiobacteria,True,0,0,12
unwithdrawn,True,2,0,11
multiped,False,6,0,8
strabismometry,False,6,0,14
boreas,True,0,0,6
biliously,True,5,0,9
motherlike,False,6,0,10
lithographic,True,1,0,12
peripherad,False,6,0,10
jozy,False,6,0,4
photosensitizer,True,0,0,15
turwar,True,2,0,6
mussitate,True,0,0,9
flotation,True,1,0,9
scientificophilosophical,False,6,0,24
alvearium,True,0,0,9
snonowas,True,3,0,8
actinoida,True,1,0,9
naological,True,1,0,10
mainsail,True,1,0,8
ovology,True,5,0,7
ankoli,True,2,0,6
limnophilidae,True,0,0,13
xenogeny,False,6,0,8
filminess,True,2,0,9
danke,True,0,0,5
west,False,6,0,4
ramadoss,True,3,0,8
breakage,True,1,0,8
rift,False,6,0,4
horoptery,False,6,0,9
arecoline,True,0,0,9
unlusty,True,5,0,7
trisporic,False,6,0,9
condensable,True,1,0,11
athericerous,True,0,0,12
taloned,True,2,0,7
reuplift,True,3,0,8
fruitgrowing,True,1,0,12
ganda,True,2,0,5
ataxiaphasia,False,6,0,12
lopezia,True,0,0,7
seraphim,True,0,0,8
pyrophobia,True,1,0,10
puschkinia,True,1,0,10
artifact,True,1,0,8
unfussed,True,3,0,8
forgivable,True,1,0,10
linum,False,6,0,5
proconviction,False,6,0,13
antipatriarchal,True,2,0,15
benzoglycolic,True,2,0,13
concipiency,False,6,0,11
ethic,False,6,0,5
tiresome,True,1,0,8
orbicularness,True,0,0,13
woom,False,6,0,4
intertransversary,True,1,0,17
preinhabitation,True,4,0,15
geogonic,True,5,0,8
unfitting,True,1,0,9
utopiast,True,2,0,8
auriscope,True,0,0,9
capeskin,True,2,0,8
cypriniform,False,6,0,11
nosethirl,True,1,0,9
meningococcemia,True,0,0,15
aristodemocracy,True,5,0,15
anesthesis,True,0,0,10
nordicization,True,1,0,13
cobitidae,True,0,0,9
redfinch,True,2,0,8
witchcraft,True,1,0,10
titanolatry,True,1,0,11
converge,True,4,0,8
diligency,True,0,0,9
ratter,True,0,0,6
apodictically,False,6,0,13
baggageman,True,1,0,10
instantial,True,2,0,10
trigeminous,False,6,0,11
fluctuous,True,5,0,9
protoblastic,True,1,0,12
significian,True,1,0,11
nasillation,True,4,0,11
crajuru,False,6,0,7
mouthable,True,3,0,9
anura,True,1,0,5
housekeeperlike,True,0,0,15
utterless,True,0,0,9
octopodes,False,6,0,9
elain,True,0,0,5
macular,True,2,0,7
analphabetic,True,0,0,12
raya,False,6,0,4
corollaceous,True,1,0,12
readjustable,True,1,0,12
rationalization,True,1,0,15
warua,True,3,0,5
leptoptilus,True,1,0,11
prediminishment,True,0,0,15
stoury,True,3,0,6
nepouite,False,6,0,8
worktable,True,2,0,9
assentatious,True,0,0,12
aj,False,6,0,2
rhyparography,False,6,0,13
jane,True,5,0,4
affiliable,True,0,0,10
propitiatorily,False,6,0,14
snaillike,True,0,0,9
aseptate,True,1,0,8
dearness,True,2,0,8
phacocyst,True,4,0,9
tropicopolitan,True,1,0,14
unchrisom,True,2,0,9
tantrik,True,1,0,7
unpitifully,True,3,0,11
intracoelomic,True,0,0,13
postarticular,True,1,0,13
duckhunting,True,2,0,11
bacterian,False,6,0,9
uninstructedness,True,2,0,16
judge,False,6,0,5
orthophenylene,True,1,0,14
oppugner,False,6,0,8
sylvanitic,True,1,0,10
bashlyk,False,6,0,7
pseudomelanosis,True,0,0,15
prelusory,True,2,0,9
cynosure,True,2,0,8
heliced,True,1,0,7
saltfat,True,3,0,7
cavicornia,True,1,0,10
coambulant,True,3,0,10
anaphroditous,True,1,0,13
diathetic,False,6,0,9
entrepreneurship,True,0,0,16
dardanium,False,6,0,9
supersaturation,True,0,0,15
summoningly,True,2,0,11
skiapod,True,3,0,7
assenting,True,0,0,9
unshrewish,True,1,0,10
equitist,True,5,0,8
intercommunicability,True,0,0,20
antiperthite,True,4,0,12
thinbrained,True,0,0,11
flatulentness,True,1,0,13
dory,False,6,0,4
placochromatic,True,2,0,14
whippersnapper,True,1,0,14
institutrix,False,6,0,11
bustler,False,6,0,7
installant,True,1,0,10
microtomist,True,2,0,11
eurythermic,True,0,0,11
yao,False,6,0,3
antibreakage,True,0,0,12
overfacile,True,0,0,10
speedwell,True,0,0,9
pygmydom,False,6,0,8
incineration,True,0,0,12
tetanical,True,0,0,9
sufficiently,True,0,0,12
oligist,True,3,0,7
cassinoid,True,1,0,9
executrices,True,0,0,11
quivered,False,6,0,8
becurse,True,0,0,7
supertaxation,True,0,0,13
cogue,True,3,0,5
unvindictively,True,0,0,14
whooper,True,3,0,7
caduceus,True,0,0,8
impersonify,True,0,0,11
jemminess,False,6,0,9
unlaughing,True,1,0,10
oligometochic,True,1,0,13
panhellenium,False,6,0,12
hostilize,True,1,0,9
tarie,True,3,0,5
scopperil,True,1,0,9
goosebird,True,4,0,9
balneotherapy,True,1,0,13
lilaceous,True,0,0,9
eopaleozoic,True,0,0,11
dartsman,True,3,0,8
undiatonic,True,1,0,10
marc,True,4,0,4
jura,True,4,0,4
temptable,True,2,0,9
deva,False,6,0,4
uninnocuous,False,6,0,11
compulsiveness,True,0,0,14
vilayet,False,6,0,7
subpanel,True,2,0,8
plastral,True,3,0,8
bushfighting,True,3,0,12
acerbic,True,1,0,7
disnaturalize,True,1,0,13
saturnale,True,1,0,9
thickish,True,4,0,8
phantomic,True,2,0,9
leporis,True,2,0,7
hematocytoblast,False,6,0,15
postmarriage,True,0,0,12
fitfully,False,6,0,8
outride,True,2,0,7
meaner,True,5,0,6
incognizability,True,1,0,15
hypoeosinophilia,True,0,0,16
phocxkqhsv,False,6,0,10
furzed,True,2,0,6
christhood,True,3,0,10
clustering,True,1,0,10
tiver,False,6,0,5
reread,True,0,0,6
tribophosphorescent,True,0,0,19
retrocolic,True,1,0,10
maturement,True,1,0,10
cogglety,True,4,0,8
sabellian,True,0,0,9
unparticipant,True,2,0,13
exopod,False,6,0,6
epichondrosis,True,0,0,13
courtiership,True,0,0,12
pommee,True,1,0,6
reasoned,True,1,0,8
soteriology,True,1,0,11
xanthoderm,True,1,0,10
divertedly,True,0,0,10
underpresser,True,0,0,12
incongruently,True,3,0,13
thelytocia,True,0,0,10
limping,True,5,0,7
keraunography,False,6,0,13
gouda,True,4,0,5
uncompliableness,True,0,0,16
aggrieved,True,0,0,9
unprecautioned,True,0,0,14
unsustained,True,0,0,11
aberuncator,False,6,0,11
saravan,True,2,0,7
elastin,True,1,0,7
zb,False,6,0,2
clitellar,True,0,0,9
euge,True,2,0,4
unalarm,True,2,0,7
tanquen,True,1,0,7
dephlegmate,False,6,0,11
athwarthawse,True,1,0,12
dive,True,2,0,4
syncategorematical,True,5,0,18
unnosed,True,3,0,7
chinook,True,3,0,7
acceleratory,True,1,0,12
sellout,True,4,0,7
indite,True,1,0,6
opinionate,True,0,0,10
acanthuridae,True,0,0,12
banjoist,True,2,0,8
trinklet,True,1,0,8
lastness,True,0,0,8
polypragmonic,True,4,0,13
akalimba,True,2,0,8
caesious,True,0,0,8
proprovost,True,3,0,10
unopinionated,True,1,0,13
polygenistic,True,3,0,12
unnourished,False,6,0,11
theorization,True,0,0,12
prorector,True,2,0,9
unpublishably,True,3,0,13
parsonsite,True,0,0,10
isocinchonine,True,0,0,13
hydrofluosilicate,True,0,0,17
xenosaurid,True,1,0,10
outrave,True,0,0,7
prawn,True,1,0,5
nonmajority,True,1,0,11
geomagnetics,True,0,0,12
teutophobe,False,6,0,10
pikey,False,6,0,5
dermatophobia,True,4,0,13
distad,True,5,0,6
chalazogamy,True,2,0,11
preaffection,True,4,0,12
sie,False,6,0,3
filamentose,False,6,0,11
cogitabundity,True,4,0,13
chelidonine,True,0,0,11
untwineable,False,6,0,11
bonjour,True,3,0,7
nonionizing,False,6,0,11
unconstrained,True,0,0,13
mail,True,4,0,4
monocarboxylic,True,2,0,14
europocentric,True,0,0,13
